Nâng cấp bắt đầu: 17:02:39_04-02-2026
17:03:31_04-02-2026 | ::1 | Di chuyển file admin/upload/renamefolder.php | SUCCESS
17:03:31_04-02-2026 | ::1 | Di chuyển file admin/upload/rotateimg.php | SUCCESS
17:03:31_04-02-2026 | ::1 | Di chuyển file admin/upload/thumbconfig.php | SUCCESS
17:03:31_04-02-2026 | ::1 | Di chuyển file admin/upload/upload.php | SUCCESS
17:03:31_04-02-2026 | ::1 | Di chuyển file admin/upload/uploadconfig.php | SUCCESS
17:03:31_04-02-2026 | ::1 | Di chuyển file admin/zalo/admin.menu.php | SUCCESS
17:03:31_04-02-2026 | ::1 | Di chuyển file admin/zalo/functions.php | SUCCESS
17:03:31_04-02-2026 | ::1 | Di chuyển file admin/zalo/index.html | SUCCESS
17:03:31_04-02-2026 | ::1 | Di chuyển file admin/zalo/main.php | SUCCESS
17:03:31_04-02-2026 | ::1 | Di chuyển file admin/zalo/settings.php | SUCCESS
17:03:31_04-02-2026 | ::1 | Di chuyển file api.php | SUCCESS
17:03:31_04-02-2026 | ::1 | Di chuyển file assets/css/rss.xsl | SUCCESS
17:03:31_04-02-2026 | ::1 | Di chuyển file assets/editors/ckeditor5-classic/LICENSE.md | SUCCESS
17:03:31_04-02-2026 | ::1 | Di chuyển file assets/editors/ckeditor5-classic/ckeditor.css | SUCCESS
17:03:31_04-02-2026 | ::1 | Di chuyển file assets/editors/ckeditor5-classic/ckeditor.js | SUCCESS
17:03:31_04-02-2026 | ::1 | Di chuyển file assets/editors/ckeditor5-classic/index.html | SUCCESS
17:03:31_04-02-2026 | ::1 | Di chuyển file assets/editors/ckeditor5-classic/language/en.js | SUCCESS
17:03:31_04-02-2026 | ::1 | Di chuyển file assets/editors/ckeditor5-classic/language/fr.js | SUCCESS
17:03:31_04-02-2026 | ::1 | Di chuyển file assets/editors/ckeditor5-classic/language/index.html | SUCCESS
17:03:31_04-02-2026 | ::1 | Di chuyển file assets/editors/ckeditor5-classic/language/ru.js | SUCCESS
17:03:31_04-02-2026 | ::1 | Di chuyển file assets/editors/ckeditor5-classic/language/vi.js | SUCCESS
17:03:31_04-02-2026 | ::1 | Di chuyển file assets/editors/ckeditor5-classic/nv.callback.js | SUCCESS
17:03:31_04-02-2026 | ::1 | Di chuyển file assets/editors/ckeditor5-classic/nv.php | SUCCESS
17:03:31_04-02-2026 | ::1 | Di chuyển file assets/editors/ckeditor5-classic/nv.upload.error.php | SUCCESS
17:03:31_04-02-2026 | ::1 | Di chuyển file assets/editors/ckeditor5-classic/nv.upload.success.php | SUCCESS
17:03:31_04-02-2026 | ::1 | Di chuyển file assets/js/DOMPurify/purify2.js | SUCCESS
17:03:31_04-02-2026 | ::1 | Di chuyển file assets/js/DOMPurify/purify3.js | SUCCESS
17:03:31_04-02-2026 | ::1 | Di chuyển file assets/js/admin.js | SUCCESS
17:03:31_04-02-2026 | ::1 | Di chuyển file assets/js/chart/chart.esm.js | SUCCESS
17:03:31_04-02-2026 | ::1 | Di chuyển file assets/js/chart/chart.js | SUCCESS
17:03:31_04-02-2026 | ::1 | Di chuyển file assets/js/chart/chart.min.js | SUCCESS
17:03:31_04-02-2026 | ::1 | Di chuyển file assets/js/chart/chunks/helpers.segment.js | SUCCESS
17:03:31_04-02-2026 | ::1 | Di chuyển file assets/js/chart/helpers.esm.js | SUCCESS
17:03:31_04-02-2026 | ::1 | Di chuyển file assets/js/clipboard/clipboard.min.js | SUCCESS
17:03:31_04-02-2026 | ::1 | Di chuyển file assets/js/global.js | SUCCESS
17:03:31_04-02-2026 | ::1 | Di chuyển file assets/js/highlight/github.min.css | SUCCESS
17:03:31_04-02-2026 | ::1 | Di chuyển file assets/js/highlight/highlight.min.js | SUCCESS
17:03:31_04-02-2026 | ::1 | Di chuyển file assets/js/highlight/index.html | SUCCESS
